"shopping_cart","goods"
1,"A4"
2,"A3"
3,"A7"
4,"A3"
5,"A2"
5,"A1"
6,"A7"
7,"A2"
8,"A1"
9,"A5"
10,"A2"
10,"A1"
11,"A1"
11,"A1"
12,"A6"
13,"A6"
13,"A3"
14,"A6"
15,"A3"
16,"A6"
17,"A5"
18,"A6"
18,"A7"
19,"A2"
20,"A3"
20,"A1"
21,"A1"
21,"A7"
22,"A1"
23,"A7"
24,"A7"
25,"A7"
25,"A5"
25,"A3"
26,"A1"
27,"A1"
27,"A3"
28,"A1"
29,"A5"
30,"A3"
30,"A3"
31,"A5"
32,"A5"
33,"A3"
33,"A3"
34,"A1"
35,"A4"
36,"A3"
36,"A3"
37,"A7"
38,"A7"
39,"A4"
40,"A1"
41,"A1"
42,"A4"
43,"A3"
44,"A6"
45,"A5"
46,"A3"
47,"A5"
48,"A5"
49,"A1"
50,"A1"
51,"A1"
52,"A5"
53,"A3"
54,"A1"
55,"A1"
55,"A5"
56,"A5"
56,"A1"
57,"A5"
57,"A3"
58,"A7"
59,"A1"
60,"A5"
61,"A1"
62,"A6"
63,"A7"
63,"A3"
64,"A7"
65,"A2"
66,"A5"
67,"A1"
68,"A5"
69,"A7"
70,"A7"
71,"A1"
71,"A5"
72,"A6"
73,"A5"
74,"A1"
75,"A1"
76,"A1"
77,"A1"
77,"A1"
78,"A6"
78,"A7"
78,"A4"
78,"A1"
79,"A5"
80,"A1"
81,"A2"
82,"A3"
83,"A5"
84,"A7"
85,"A7"
86,"A1"
87,"A1"
88,"A1"
89,"A2"
89,"A3"
90,"A5"
91,"A5"
92,"A1"
92,"A4"
93,"A5"
94,"A1"
94,"A1"
95,"A5"
96,"A1"
96,"A6"
97,"A1"
98,"A6"
99,"A5"
100,"A3"
101,"A7"
101,"A3"
101,"A5"
102,"A1"
103,"A3"
104,"A5"
104,"A3"
105,"A7"
106,"A3"
107,"A6"
108,"A5"
109,"A5"
110,"A2"
110,"A5"
111,"A5"
112,"A2"
113,"A5"
114,"A7"
115,"A5"
116,"A2"
116,"A1"
117,"A5"
118,"A5"
119,"A4"
120,"A6"
120,"A6"
121,"A1"
122,"A2"
122,"A1"
123,"A2"
123,"A1"
124,"A1"
125,"A3"
126,"A1"
127,"A4"
127,"A5"
128,"A7"
129,"A5"
130,"A2"
131,"A1"
132,"A1"
132,"A5"
133,"A2"
133,"A3"
134,"A1"
135,"A5"
136,"A5"
137,"A1"
137,"A1"
138,"A5"
139,"A6"
140,"A6"
141,"A3"
142,"A5"
142,"A1"
142,"A3"
143,"A1"
144,"A7"
145,"A7"
146,"A2"
147,"A7"
148,"A5"
149,"A7"
150,"A5"
151,"A1"
152,"A6"
153,"A1"
154,"A5"
154,"A5"
155,"A1"
155,"A1"
156,"A2"
157,"A6"
157,"A6"
158,"A3"
159,"A1"
160,"A5"
161,"A5"
162,"A7"
163,"A6"
164,"A1"
165,"A5"
166,"A1"
167,"A5"
